UTC, LocalTime, airmass, obs_frac
2022-12-26 00:10:00.000, 2022-12-25 17:10:00.000, 2.0589013412838817, 0.36363636363636365
2022-12-26 00:20:00.000, 2022-12-25 17:20:00.000, 1.9687179264823156, 1.0
2022-12-26 00:30:00.000, 2022-12-25 17:30:00.000, 1.889947721393989, 1.0
2022-12-26 00:40:00.000, 2022-12-25 17:40:00.000, 1.8209411917798397, 1.0
2022-12-26 00:50:00.000, 2022-12-25 17:50:00.000, 1.760375647514088, 1.0
2022-12-26 01:00:00.000, 2022-12-25 18:00:00.000, 1.7071807425021726, 1.0
2022-12-26 01:10:00.000, 2022-12-25 18:10:00.000, 1.6604837650324338, 1.0
2022-12-26 01:20:00.000, 2022-12-25 18:20:00.000, 1.6195688897457095, 1.0
2022-12-26 01:30:00.000, 2022-12-25 18:30:00.000, 1.5838464526066094, 1.0
2022-12-26 01:40:00.000, 2022-12-25 18:40:00.000, 1.5528295391931572, 1.0
2022-12-26 01:50:00.000, 2022-12-25 18:50:00.000, 1.5261159920335914, 1.0
2022-12-26 02:00:00.000, 2022-12-25 19:00:00.000, 1.5033744940238962, 1.0
2022-12-26 02:10:00.000, 2022-12-25 19:10:00.000, 1.484333764354043, 1.0
2022-12-26 02:20:00.000, 2022-12-25 19:20:00.000, 1.4687741689651892, 1.0
2022-12-26 02:30:00.000, 2022-12-25 19:30:00.000, 1.4565212367083153, 1.0
2022-12-26 02:40:00.000, 2022-12-25 19:40:00.000, 1.4474407095627364, 1.0
2022-12-26 02:50:00.000, 2022-12-25 19:50:00.000, 1.441434856855535, 1.0
2022-12-26 03:00:00.000, 2022-12-25 20:00:00.000, 1.4384398605660678, 1.0
2022-12-26 03:10:00.000, 2022-12-25 20:10:00.000, 1.4384241393183832, 1.0
2022-12-26 03:20:00.000, 2022-12-25 20:20:00.000, 1.4413875282194872, 1.0
2022-12-26 03:30:00.000, 2022-12-25 20:30:00.000, 1.4473612745960305, 1.0
2022-12-26 03:40:00.000, 2022-12-25 20:40:00.000, 1.456408849422861, 1.0
2022-12-26 03:50:00.000, 2022-12-25 20:50:00.000, 1.4686276139615466, 1.0
2022-12-26 04:00:00.000, 2022-12-25 21:00:00.000, 1.4841514239711344, 1.0
2022-12-26 04:10:00.000, 2022-12-25 21:10:00.000, 1.503154303317758, 1.0
2022-12-26 04:20:00.000, 2022-12-25 21:20:00.000, 1.5258553791864524, 1.0
2022-12-26 04:30:00.000, 2022-12-25 21:30:00.000, 1.5525253480303673, 1.0
2022-12-26 04:40:00.000, 2022-12-25 21:40:00.000, 1.5834948426674227, 1.0
2022-12-26 04:50:00.000, 2022-12-25 21:50:00.000, 1.6191652076722323, 1.0
2022-12-26 05:00:00.000, 2022-12-25 22:00:00.000, 1.6600223787040198, 1.0
2022-12-26 05:10:00.000, 2022-12-25 22:10:00.000, 1.7066548260323613, 1.0
2022-12-26 05:20:00.000, 2022-12-25 22:20:00.000, 1.7597769004630652, 1.0
2022-12-26 05:30:00.000, 2022-12-25 22:30:00.000, 1.8202594689553466, 1.0
2022-12-26 05:40:00.000, 2022-12-25 22:40:00.000, 1.8891705392034344, 1.0
2022-12-26 05:50:00.000, 2022-12-25 22:50:00.000, 1.9678297959666005, 0.36363636363636365
