UTC, LocalTime, airmass, obs_frac
2022-10-02 05:50:00.000, 2022-10-01 23:50:00.000, 2.029453504680782, 0.6363636363636364
2022-10-02 06:00:00.000, 2022-10-02 00:00:00.000, 1.942793971326232, 1.0
2022-10-02 06:10:00.000, 2022-10-02 00:10:00.000, 1.8670213641010622, 1.0
2022-10-02 06:20:00.000, 2022-10-02 00:20:00.000, 1.800591085112584, 1.0
2022-10-02 06:30:00.000, 2022-10-02 00:30:00.000, 1.7422610191360162, 1.0
2022-10-02 06:40:00.000, 2022-10-02 00:40:00.000, 1.691023583563295, 1.0
2022-10-02 06:50:00.000, 2022-10-02 00:50:00.000, 1.6460556117239384, 1.0
2022-10-02 07:00:00.000, 2022-10-02 01:00:00.000, 1.6066808832038721, 1.0
2022-10-02 07:10:00.000, 2022-10-02 01:10:00.000, 1.5723417774021125, 1.0
2022-10-02 07:20:00.000, 2022-10-02 01:20:00.000, 1.5425776141595482, 1.0
2022-10-02 07:30:00.000, 2022-10-02 01:30:00.000, 1.5170079709938762, 1.0
2022-10-02 07:40:00.000, 2022-10-02 01:40:00.000, 1.4953197597037695, 1.0
2022-10-02 07:50:00.000, 2022-10-02 01:50:00.000, 1.4772571862302737, 1.0
2022-10-02 08:00:00.000, 2022-10-02 02:00:00.000, 1.4626139576386799, 1.0
2022-10-02 08:10:00.000, 2022-10-02 02:10:00.000, 1.451227271851915, 1.0
2022-10-02 08:20:00.000, 2022-10-02 02:20:00.000, 1.442973251030963, 1.0
2022-10-02 08:30:00.000, 2022-10-02 02:30:00.000, 1.4377635728501406, 1.0
2022-10-02 08:40:00.000, 2022-10-02 02:40:00.000, 1.4355431253730555, 1.0
2022-10-02 08:50:00.000, 2022-10-02 02:50:00.000, 1.4362885678751347, 1.0
2022-10-02 09:00:00.000, 2022-10-02 03:00:00.000, 1.440007726960019, 1.0
2022-10-02 09:10:00.000, 2022-10-02 03:10:00.000, 1.4467397986831394, 1.0
2022-10-02 09:20:00.000, 2022-10-02 03:20:00.000, 1.456556366461097, 1.0
2022-10-02 09:30:00.000, 2022-10-02 03:30:00.000, 1.469563284376623, 1.0
2022-10-02 09:40:00.000, 2022-10-02 03:40:00.000, 1.485903519241495, 1.0
2022-10-02 09:50:00.000, 2022-10-02 03:50:00.000, 1.5057610960693, 1.0
2022-10-02 10:00:00.000, 2022-10-02 04:00:00.000, 1.529366354958417, 1.0
2022-10-02 10:10:00.000, 2022-10-02 04:10:00.000, 1.5570028088179118, 1.0
2022-10-02 10:20:00.000, 2022-10-02 04:20:00.000, 1.589015999283408, 1.0
2022-10-02 10:30:00.000, 2022-10-02 04:30:00.000, 1.6258248946323755, 1.0
2022-10-02 10:40:00.000, 2022-10-02 04:40:00.000, 1.6679365762912688, 1.0
2022-10-02 10:50:00.000, 2022-10-02 04:50:00.000, 1.715965246341113, 1.0
