UTC, LocalTime, airmass, obs_frac
2022-10-28 04:10:00.000, 2022-10-27 22:10:00.000, 2.009188361104663, 0.8181818181818182
2022-10-28 04:20:00.000, 2022-10-27 22:20:00.000, 1.925097701865947, 1.0
2022-10-28 04:30:00.000, 2022-10-27 22:30:00.000, 1.8515206566341371, 1.0
2022-10-28 04:40:00.000, 2022-10-27 22:40:00.000, 1.7869868066384975, 1.0
2022-10-28 04:50:00.000, 2022-10-27 22:50:00.000, 1.7303112440644641, 1.0
2022-10-28 05:00:00.000, 2022-10-27 23:00:00.000, 1.6805311429336516, 1.0
2022-10-28 05:10:00.000, 2022-10-27 23:10:00.000, 1.6368588279689527, 1.0
2022-10-28 05:20:00.000, 2022-10-27 23:20:00.000, 1.5986465891659745, 1.0
2022-10-28 05:30:00.000, 2022-10-27 23:30:00.000, 1.565360000187225, 1.0
2022-10-28 05:40:00.000, 2022-10-27 23:40:00.000, 1.536557491214901, 1.0
2022-10-28 05:50:00.000, 2022-10-27 23:50:00.000, 1.511874591948255, 1.0
2022-10-28 06:00:00.000, 2022-10-28 00:00:00.000, 1.491011714219336, 1.0
2022-10-28 06:10:00.000, 2022-10-28 00:10:00.000, 1.4737246587435318, 1.0
2022-10-28 06:20:00.000, 2022-10-28 00:20:00.000, 1.4598172529882034, 1.0
2022-10-28 06:30:00.000, 2022-10-28 00:30:00.000, 1.4491356870119771, 1.0
2022-10-28 06:40:00.000, 2022-10-28 00:40:00.000, 1.4415642312421928, 1.0
2022-10-28 06:50:00.000, 2022-10-28 00:50:00.000, 1.4370221079073724, 1.0
2022-10-28 07:00:00.000, 2022-10-28 01:00:00.000, 1.4354613554807816, 1.0
2022-10-28 07:10:00.000, 2022-10-28 01:10:00.000, 1.436865579594653, 1.0
2022-10-28 07:20:00.000, 2022-10-28 01:20:00.000, 1.4412495293209717, 1.0
2022-10-28 07:30:00.000, 2022-10-28 01:30:00.000, 1.448659478297977, 1.0
2022-10-28 07:40:00.000, 2022-10-28 01:40:00.000, 1.459174429155859, 1.0
2022-10-28 07:50:00.000, 2022-10-28 01:50:00.000, 1.472908200115605, 1.0
2022-10-28 08:00:00.000, 2022-10-28 02:00:00.000, 1.4900124977273677, 1.0
2022-10-28 08:10:00.000, 2022-10-28 02:10:00.000, 1.5106811332513226, 1.0
2022-10-28 08:20:00.000, 2022-10-28 02:20:00.000, 1.53515560696409, 1.0
2022-10-28 08:30:00.000, 2022-10-28 02:30:00.000, 1.5637323711612159, 1.0
2022-10-28 08:40:00.000, 2022-10-28 02:40:00.000, 1.5967721979026772, 1.0
2022-10-28 08:50:00.000, 2022-10-28 02:50:00.000, 1.634712234739225, 1.0
2022-10-28 09:00:00.000, 2022-10-28 03:00:00.000, 1.678081550185166, 1.0
2022-10-28 09:10:00.000, 2022-10-28 03:10:00.000, 1.7275212798914084, 1.0
2022-10-28 09:20:00.000, 2022-10-28 03:20:00.000, 1.7838109294247804, 1.0
2022-10-28 09:30:00.000, 2022-10-28 03:30:00.000, 1.8479030410596482, 1.0
2022-10-28 09:40:00.000, 2022-10-28 03:40:00.000, 1.92096940332214, 1.0
