UTC, LocalTime, airmass, obs_frac
2022-09-26 06:10:00.000, 2022-09-26 00:10:00.000, 2.0635655930091255, 0.36363636363636365
2022-09-26 06:20:00.000, 2022-09-26 00:20:00.000, 1.9725499269190665, 1.0
2022-09-26 06:30:00.000, 2022-09-26 00:30:00.000, 1.8930662076732574, 1.0
2022-09-26 06:40:00.000, 2022-09-26 00:40:00.000, 1.823440114535427, 1.0
2022-09-26 06:50:00.000, 2022-09-26 00:50:00.000, 1.762329929156582, 1.0
2022-09-26 07:00:00.000, 2022-09-26 01:00:00.000, 1.7086504623351073, 1.0
2022-09-26 07:10:00.000, 2022-09-26 01:10:00.000, 1.661517244506441, 1.0
2022-09-26 07:20:00.000, 2022-09-26 01:20:00.000, 1.6202049942173218, 1.0
2022-09-26 07:30:00.000, 2022-09-26 01:30:00.000, 1.5841163250396322, 1.0
2022-09-26 07:40:00.000, 2022-09-26 01:40:00.000, 1.5527579149203137, 1.0
2022-09-26 07:50:00.000, 2022-09-26 01:50:00.000, 1.5257221992380305, 1.0
2022-09-26 08:00:00.000, 2022-09-26 02:00:00.000, 1.5026732142254098, 1.0
2022-09-26 08:10:00.000, 2022-09-26 02:10:00.000, 1.4833356060379446, 1.0
2022-09-26 08:20:00.000, 2022-09-26 02:20:00.000, 1.4674860924811723, 1.0
2022-09-26 08:30:00.000, 2022-09-26 02:30:00.000, 1.4549468576775069, 1.0
2022-09-26 08:40:00.000, 2022-09-26 02:40:00.000, 1.4455804999271569, 1.0
2022-09-26 08:50:00.000, 2022-09-26 02:50:00.000, 1.4392862564724018, 1.0
2022-09-26 09:00:00.000, 2022-09-26 03:00:00.000, 1.4359973072504557, 1.0
2022-09-26 09:10:00.000, 2022-09-26 03:10:00.000, 1.4356790210007837, 1.0
2022-09-26 09:20:00.000, 2022-09-26 03:20:00.000, 1.4383280570440802, 1.0
2022-09-26 09:30:00.000, 2022-09-26 03:30:00.000, 1.4439722790292508, 1.0
2022-09-26 09:40:00.000, 2022-09-26 03:40:00.000, 1.452671476476726, 1.0
2022-09-26 09:50:00.000, 2022-09-26 03:50:00.000, 1.4645189291516936, 1.0
2022-09-26 10:00:00.000, 2022-09-26 04:00:00.000, 1.4796438912621388, 1.0
2022-09-26 10:10:00.000, 2022-09-26 04:10:00.000, 1.4982151205994192, 1.0
2022-09-26 10:20:00.000, 2022-09-26 04:20:00.000, 1.5204456361588392, 1.0
2022-09-26 10:30:00.000, 2022-09-26 04:30:00.000, 1.5465989619004528, 1.0
2022-09-26 10:40:00.000, 2022-09-26 04:40:00.000, 1.5769972115563946, 1.0
2022-09-26 10:50:00.000, 2022-09-26 04:50:00.000, 1.6120315003260222, 1.0
