UTC, LocalTime, airmass, obs_frac
2022-09-21 12:00:00.000, 2022-09-21 06:00:00.000, 1.8798122429592625, 1.0
2022-09-21 12:10:00.000, 2022-09-21 06:10:00.000, 1.957403745623556, 0.45454545454545453
2022-09-22 06:30:00.000, 2022-09-22 00:30:00.000, 2.023129168840826, 0.7272727272727273
2022-09-22 06:40:00.000, 2022-09-22 00:40:00.000, 1.9372725483528772, 1.0
2022-09-22 06:50:00.000, 2022-09-22 00:50:00.000, 1.8621855942399392, 1.0
2022-09-22 07:00:00.000, 2022-09-22 01:00:00.000, 1.7963470797034793, 1.0
2022-09-22 07:10:00.000, 2022-09-22 01:10:00.000, 1.738532893044237, 1.0
2022-09-22 07:20:00.000, 2022-09-22 01:20:00.000, 1.687749521938088, 1.0
2022-09-22 07:30:00.000, 2022-09-22 01:30:00.000, 1.6431849460208163, 1.0
2022-09-22 07:40:00.000, 2022-09-22 01:40:00.000, 1.6041718899966553, 1.0
2022-09-22 07:50:00.000, 2022-09-22 01:50:00.000, 1.5701600033581025, 1.0
2022-09-22 08:00:00.000, 2022-09-22 02:00:00.000, 1.540694590005519, 1.0
2022-09-22 08:10:00.000, 2022-09-22 02:10:00.000, 1.5154002173973966, 1.0
2022-09-22 08:20:00.000, 2022-09-22 02:20:00.000, 1.4939680155183233, 1.0
2022-09-22 08:30:00.000, 2022-09-22 02:30:00.000, 1.4761458087733819, 1.0
2022-09-22 08:40:00.000, 2022-09-22 02:40:00.000, 1.4617304583239743, 1.0
2022-09-22 08:50:00.000, 2022-09-22 02:50:00.000, 1.4505619603668733, 1.0
2022-09-22 09:00:00.000, 2022-09-22 03:00:00.000, 1.442518968533792, 1.0
2022-09-22 09:10:00.000, 2022-09-22 03:10:00.000, 1.4375155001612085, 1.0
2022-09-22 09:20:00.000, 2022-09-22 03:20:00.000, 1.4354986564233834, 1.0
2022-09-22 09:30:00.000, 2022-09-22 03:30:00.000, 1.4364472421522478, 1.0
2022-09-22 09:40:00.000, 2022-09-22 03:40:00.000, 1.44037121766514, 1.0
2022-09-22 09:50:00.000, 2022-09-22 03:50:00.000, 1.4473119560284715, 1.0
2022-09-22 10:00:00.000, 2022-09-22 04:00:00.000, 1.4573433182059188, 1.0
2022-09-22 10:10:00.000, 2022-09-22 04:10:00.000, 1.470573598535564, 1.0
2022-09-22 10:20:00.000, 2022-09-22 04:20:00.000, 1.4871484371264527, 1.0
2022-09-22 10:30:00.000, 2022-09-22 04:30:00.000, 1.507254847722849, 1.0
2022-09-22 10:40:00.000, 2022-09-22 04:40:00.000, 1.5311265739574542, 1.0
2022-09-22 10:50:00.000, 2022-09-22 04:50:00.000, 1.559051069861206, 1.0
