UTC, LocalTime, airmass, obs_frac
2022-09-27 06:10:00.000, 2022-09-27 00:10:00.000, 2.001969027577442, 0.9090909090909091
2022-09-27 06:20:00.000, 2022-09-27 00:20:00.000, 1.9190185289050241, 1.0
2022-09-27 06:30:00.000, 2022-09-27 00:30:00.000, 1.84642341908502, 1.0
2022-09-27 06:40:00.000, 2022-09-27 00:40:00.000, 1.7827452630392824, 1.0
2022-09-27 06:50:00.000, 2022-09-27 00:50:00.000, 1.7268239210545953, 1.0
2022-09-27 07:00:00.000, 2022-09-27 01:00:00.000, 1.6777160391285377, 1.0
2022-09-27 07:10:00.000, 2022-09-27 01:10:00.000, 1.6346494748462435, 1.0
2022-09-27 07:20:00.000, 2022-09-27 01:20:00.000, 1.5969890885096771, 1.0
2022-09-27 07:30:00.000, 2022-09-27 01:30:00.000, 1.5642107762259068, 1.0
2022-09-27 07:40:00.000, 2022-09-27 01:40:00.000, 1.5358815744496217, 1.0
2022-09-27 07:50:00.000, 2022-09-27 01:50:00.000, 1.511644305117335, 1.0
2022-09-27 08:00:00.000, 2022-09-27 02:00:00.000, 1.491205667748391, 1.0
2022-09-27 08:10:00.000, 2022-09-27 02:10:00.000, 1.4743269889736217, 1.0
2022-09-27 08:20:00.000, 2022-09-27 02:20:00.000, 1.4608170550744073, 1.0
2022-09-27 08:30:00.000, 2022-09-27 02:30:00.000, 1.4505266080136254, 1.0
2022-09-27 08:40:00.000, 2022-09-27 02:40:00.000, 1.4433441991792064, 1.0
2022-09-27 08:50:00.000, 2022-09-27 02:50:00.000, 1.4391931805398177, 1.0
2022-09-27 09:00:00.000, 2022-09-27 03:00:00.000, 1.438029679063932, 1.0
2022-09-27 09:10:00.000, 2022-09-27 03:10:00.000, 1.4398414534595667, 1.0
2022-09-27 09:20:00.000, 2022-09-27 03:20:00.000, 1.4446475772993543, 1.0
2022-09-27 09:30:00.000, 2022-09-27 03:30:00.000, 1.4524989331625586, 1.0
2022-09-27 09:40:00.000, 2022-09-27 03:40:00.000, 1.4634795417857547, 1.0
2022-09-27 09:50:00.000, 2022-09-27 03:50:00.000, 1.4777087914603544, 1.0
2022-09-27 10:00:00.000, 2022-09-27 04:00:00.000, 1.4953446793618563, 1.0
2022-09-27 10:10:00.000, 2022-09-27 04:10:00.000, 1.5165882320708823, 1.0
2022-09-27 10:20:00.000, 2022-09-27 04:20:00.000, 1.541689342291283, 1.0
2022-09-27 10:30:00.000, 2022-09-27 04:30:00.000, 1.570954349531629, 1.0
2022-09-27 10:40:00.000, 2022-09-27 04:40:00.000, 1.6047558139460552, 1.0
2022-09-27 10:50:00.000, 2022-09-27 04:50:00.000, 1.6435450986516094, 1.0
