UTC, LocalTime, airmass, obs_frac
2022-12-19 00:40:00.000, 2022-12-18 17:40:00.000, 2.03539745107859, 0.6
2022-12-19 00:50:00.000, 2022-12-18 17:50:00.000, 1.9482154370475782, 1.0
2022-12-19 01:00:00.000, 2022-12-18 18:00:00.000, 1.8720026589002055, 1.0
2022-12-19 01:10:00.000, 2022-12-18 18:10:00.000, 1.805198834482697, 1.0
2022-12-19 01:20:00.000, 2022-12-18 18:20:00.000, 1.7465498174671856, 1.0
2022-12-19 01:30:00.000, 2022-12-18 18:30:00.000, 1.6950386792959908, 1.0
2022-12-19 01:40:00.000, 2022-12-18 18:40:00.000, 1.6498349124970353, 1.0
2022-12-19 01:50:00.000, 2022-12-18 18:50:00.000, 1.610256475235382, 1.0
2022-12-19 02:00:00.000, 2022-12-18 19:00:00.000, 1.5757410926195312, 1.0
2022-12-19 02:10:00.000, 2022-12-18 19:10:00.000, 1.5458243384784114, 1.0
2022-12-19 02:20:00.000, 2022-12-18 19:20:00.000, 1.520122760148181, 1.0
2022-12-19 02:30:00.000, 2022-12-18 19:30:00.000, 1.4983208105709591, 1.0
2022-12-19 02:40:00.000, 2022-12-18 19:40:00.000, 1.48016069878239, 1.0
2022-12-19 02:50:00.000, 2022-12-18 19:50:00.000, 1.4654345136511129, 1.0
2022-12-19 03:00:00.000, 2022-12-18 20:00:00.000, 1.45397815011091, 1.0
2022-12-19 03:10:00.000, 2022-12-18 20:10:00.000, 1.445666694212984, 1.0
2022-12-19 03:20:00.000, 2022-12-18 20:20:00.000, 1.4404110179711334, 1.0
2022-12-19 03:30:00.000, 2022-12-18 20:30:00.000, 1.438155407370558, 1.0
2022-12-19 03:40:00.000, 2022-12-18 20:40:00.000, 1.4388761042507603, 1.0
2022-12-19 03:50:00.000, 2022-12-18 20:50:00.000, 1.4425806903166096, 1.0
2022-12-19 04:00:00.000, 2022-12-18 21:00:00.000, 1.449308283339216, 1.0
2022-12-19 04:10:00.000, 2022-12-18 21:10:00.000, 1.4591305550582874, 1.0
2022-12-19 04:20:00.000, 2022-12-18 21:20:00.000, 1.4721536204944967, 1.0
2022-12-19 04:30:00.000, 2022-12-18 21:30:00.000, 1.4885208925141438, 1.0
2022-12-19 04:40:00.000, 2022-12-18 21:40:00.000, 1.5084170472130898, 1.0
2022-12-19 04:50:00.000, 2022-12-18 21:50:00.000, 1.5320733095680708, 1.0
2022-12-19 05:00:00.000, 2022-12-18 22:00:00.000, 1.559774350931639, 1.0
2022-12-19 05:10:00.000, 2022-12-18 22:10:00.000, 1.5918671988018862, 1.0
2022-12-19 05:20:00.000, 2022-12-18 22:20:00.000, 1.6287727070766853, 1.0
2022-12-19 05:30:00.000, 2022-12-18 22:30:00.000, 1.6710003396732112, 1.0
2022-12-19 05:40:00.000, 2022-12-18 22:40:00.000, 1.719167308966599, 1.0
2022-12-19 05:50:00.000, 2022-12-18 22:50:00.000, 1.7740235243897042, 1.0
2022-12-19 06:00:00.000, 2022-12-18 23:00:00.000, 1.836484410445358, 1.0
2022-12-19 06:10:00.000, 2022-12-18 23:10:00.000, 1.9076745504851857, 1.0
2022-12-19 06:20:00.000, 2022-12-18 23:20:00.000, 1.9889864709834106, 0.18181818181818182
