UTC, LocalTime, airmass, obs_frac
2022-10-29 04:00:00.000, 2022-10-28 22:00:00.000, 2.040234253600768, 0.5454545454545454
2022-10-29 04:10:00.000, 2022-10-28 22:10:00.000, 1.952433038618002, 1.0
2022-10-29 04:20:00.000, 2022-10-28 22:20:00.000, 1.8756919954198517, 1.0
2022-10-29 04:30:00.000, 2022-10-28 22:30:00.000, 1.8084326260729866, 1.0
2022-10-29 04:40:00.000, 2022-10-28 22:40:00.000, 1.7493867732381578, 1.0
2022-10-29 04:50:00.000, 2022-10-28 22:50:00.000, 1.6975265733428324, 1.0
2022-10-29 05:00:00.000, 2022-10-28 23:00:00.000, 1.6520128671572367, 1.0
2022-10-29 05:10:00.000, 2022-10-28 23:10:00.000, 1.612156677609683, 1.0
2022-10-29 05:20:00.000, 2022-10-28 23:20:00.000, 1.577390099192091, 1.0
2022-10-29 05:30:00.000, 2022-10-28 23:30:00.000, 1.5472440756711545, 1.0
2022-10-29 05:40:00.000, 2022-10-28 23:40:00.000, 1.521331297009091, 1.0
2022-10-29 05:50:00.000, 2022-10-28 23:50:00.000, 1.4993329581160715, 1.0
2022-10-29 06:00:00.000, 2022-10-29 00:00:00.000, 1.4809884753993272, 1.0
2022-10-29 06:10:00.000, 2022-10-29 00:10:00.000, 1.466087505252897, 1.0
2022-10-29 06:20:00.000, 2022-10-29 00:20:00.000, 1.4544637859923917, 1.0
2022-10-29 06:30:00.000, 2022-10-29 00:30:00.000, 1.4459904538636246, 1.0
2022-10-29 06:40:00.000, 2022-10-29 00:40:00.000, 1.4405765797996317, 1.0
2022-10-29 06:50:00.000, 2022-10-29 00:50:00.000, 1.4381647469542238, 1.0
2022-10-29 07:00:00.000, 2022-10-29 01:00:00.000, 1.4387295470169994, 1.0
2022-10-29 07:10:00.000, 2022-10-29 01:10:00.000, 1.4422769212565736, 1.0
2022-10-29 07:20:00.000, 2022-10-29 01:20:00.000, 1.4488443142531544, 1.0
2022-10-29 07:30:00.000, 2022-10-29 01:30:00.000, 1.4585016477723365, 1.0
2022-10-29 07:40:00.000, 2022-10-29 01:40:00.000, 1.471353162307491, 1.0
2022-10-29 07:50:00.000, 2022-10-29 01:50:00.000, 1.4875402176548407, 1.0
2022-10-29 08:00:00.000, 2022-10-29 02:00:00.000, 1.5072451951018215, 1.0
2022-10-29 08:10:00.000, 2022-10-29 02:10:00.000, 1.530696706910372, 1.0
2022-10-29 08:20:00.000, 2022-10-29 02:20:00.000, 1.5581763997508786, 1.0
2022-10-29 08:30:00.000, 2022-10-29 02:30:00.000, 1.5900277459178072, 1.0
2022-10-29 08:40:00.000, 2022-10-29 02:40:00.000, 1.6266673614894045, 1.0
2022-10-29 08:50:00.000, 2022-10-29 02:50:00.000, 1.6685995916757428, 1.0
2022-10-29 09:00:00.000, 2022-10-29 03:00:00.000, 1.7164353868555073, 1.0
2022-10-29 09:10:00.000, 2022-10-29 03:10:00.000, 1.7709168986959132, 1.0
2022-10-29 09:20:00.000, 2022-10-29 03:20:00.000, 1.8329498174526473, 1.0
2022-10-29 09:30:00.000, 2022-10-29 03:30:00.000, 1.9036463496580849, 1.0
2022-10-29 09:40:00.000, 2022-10-29 03:40:00.000, 1.9843830636314288, 0.2
