UTC, LocalTime, airmass, obs_frac
2022-10-23 04:20:00.000, 2022-10-22 22:20:00.000, 2.0748101159868533, 0.18181818181818182
2022-10-23 04:30:00.000, 2022-10-22 22:30:00.000, 1.9825796199917434, 1.0
2022-10-23 04:40:00.000, 2022-10-22 22:40:00.000, 1.9020690485242422, 1.0
2022-10-23 04:50:00.000, 2022-10-22 22:50:00.000, 1.8315666592552737, 1.0
2022-10-23 05:00:00.000, 2022-10-22 23:00:00.000, 1.7697021367233583, 1.0
2022-10-23 05:10:00.000, 2022-10-22 23:10:00.000, 1.7153681265914713, 1.0
2022-10-23 05:20:00.000, 2022-10-22 23:20:00.000, 1.667662756797696, 1.0
2022-10-23 05:30:00.000, 2022-10-22 23:30:00.000, 1.6258469201955488, 1.0
2022-10-23 05:40:00.000, 2022-10-22 23:40:00.000, 1.5893121252440618, 1.0
2022-10-23 05:50:00.000, 2022-10-22 23:50:00.000, 1.5575560378109186, 1.0
2022-10-23 06:00:00.000, 2022-10-23 00:00:00.000, 1.530163707872351, 1.0
2022-10-23 06:10:00.000, 2022-10-23 00:10:00.000, 1.506793061841108, 1.0
2022-10-23 06:20:00.000, 2022-10-23 00:20:00.000, 1.4871636440328821, 1.0
2022-10-23 06:30:00.000, 2022-10-23 00:30:00.000, 1.4710478719654863, 1.0
2022-10-23 06:40:00.000, 2022-10-23 00:40:00.000, 1.4582642698658208, 1.0
2022-10-23 06:50:00.000, 2022-10-23 00:50:00.000, 1.44867228913731, 1.0
2022-10-23 07:00:00.000, 2022-10-23 01:00:00.000, 1.4421684310602938, 1.0
2022-10-23 07:10:00.000, 2022-10-23 01:10:00.000, 1.4386834675219717, 1.0
2022-10-23 07:20:00.000, 2022-10-23 01:20:00.000, 1.438180618370146, 1.0
2022-10-23 07:30:00.000, 2022-10-23 01:30:00.000, 1.4406545950043992, 1.0
2022-10-23 07:40:00.000, 2022-10-23 01:40:00.000, 1.4461314635412772, 1.0
2022-10-23 07:50:00.000, 2022-10-23 01:50:00.000, 1.4546693209210233, 1.0
2022-10-23 08:00:00.000, 2022-10-23 02:00:00.000, 1.4663598168341476, 1.0
2022-10-23 08:10:00.000, 2022-10-23 02:10:00.000, 1.4813305964471752, 1.0
2022-10-23 08:20:00.000, 2022-10-23 02:20:00.000, 1.4997487870118646, 1.0
2022-10-23 08:30:00.000, 2022-10-23 02:30:00.000, 1.5218257096794985, 1.0
2022-10-23 08:40:00.000, 2022-10-23 02:40:00.000, 1.547823071583896, 1.0
2022-10-23 08:50:00.000, 2022-10-23 02:50:00.000, 1.5780609898725795, 1.0
2022-10-23 09:00:00.000, 2022-10-23 03:00:00.000, 1.612928329318789, 1.0
2022-10-23 09:10:00.000, 2022-10-23 03:10:00.000, 1.6528960137190178, 1.0
2022-10-23 09:20:00.000, 2022-10-23 03:20:00.000, 1.6985342212483945, 1.0
2022-10-23 09:30:00.000, 2022-10-23 03:30:00.000, 1.7505347299614995, 1.0
2022-10-23 09:40:00.000, 2022-10-23 03:40:00.000, 1.8097401953975216, 1.0
2022-10-23 09:50:00.000, 2022-10-23 03:50:00.000, 1.8771829026994165, 1.0
2022-10-23 10:00:00.000, 2022-10-23 04:00:00.000, 1.9541366778759373, 0.5454545454545454
