UTC, LST, airmass, obs_frac
2022-09-20 12:00:00.000, 2022-09-20 06:00:00.000, 1.814168529054044, 1.0
2022-09-20 12:10:00.000, 2022-09-20 06:10:00.000, 1.883149320311095, 1.0
2022-09-20 12:20:00.000, 2022-09-20 06:20:00.000, 1.961865488184503, 0.18181818181818182
2022-09-21 06:30:00.000, 2022-09-21 00:30:00.000, 2.088337923814071, 0.09090909090909091
2022-09-21 06:40:00.000, 2022-09-21 00:40:00.000, 1.9935626135983655, 1.0
2022-09-21 06:50:00.000, 2022-09-21 00:50:00.000, 1.9108743221242408, 1.0
2022-09-21 07:00:00.000, 2022-09-21 01:00:00.000, 1.838483718082252, 1.0
2022-09-21 07:10:00.000, 2022-09-21 01:10:00.000, 1.7749611311482933, 1.0
2022-09-21 07:20:00.000, 2022-09-21 01:20:00.000, 1.7191530528597416, 1.0
2022-09-21 07:30:00.000, 2022-09-21 01:30:00.000, 1.6701211544034322, 1.0
2022-09-21 07:40:00.000, 2022-09-21 01:40:00.000, 1.627097083762964, 1.0
2022-09-21 07:50:00.000, 2022-09-21 01:50:00.000, 1.589448521116761, 1.0
2022-09-21 08:00:00.000, 2022-09-21 02:00:00.000, 1.5566534012614732, 1.0
2022-09-21 08:10:00.000, 2022-09-21 02:10:00.000, 1.5282801538267354, 1.0
2022-09-21 08:20:00.000, 2022-09-21 02:20:00.000, 1.5039724447034717, 1.0
2022-09-21 08:30:00.000, 2022-09-21 02:30:00.000, 1.4834373347218115, 1.0
2022-09-21 08:40:00.000, 2022-09-21 02:40:00.000, 1.4664360725640972, 1.0
2022-09-21 08:50:00.000, 2022-09-21 02:50:00.000, 1.4527769518252995, 1.0
2022-09-21 09:00:00.000, 2022-09-21 03:00:00.000, 1.4423098154402532, 1.0
2022-09-21 09:10:00.000, 2022-09-21 03:10:00.000, 1.4349219032222815, 1.0
2022-09-21 09:20:00.000, 2022-09-21 03:20:00.000, 1.4305348227450259, 1.0
2022-09-21 09:30:00.000, 2022-09-21 03:30:00.000, 1.429102489072837, 1.0
2022-09-21 09:40:00.000, 2022-09-21 03:40:00.000, 1.430609931194477, 1.0
2022-09-21 09:50:00.000, 2022-09-21 03:50:00.000, 1.4350729071077113, 1.0
2022-09-21 10:00:00.000, 2022-09-21 04:00:00.000, 1.442538309012621, 1.0
2022-09-21 10:10:00.000, 2022-09-21 04:10:00.000, 1.4530853781351512, 1.0
2022-09-21 10:20:00.000, 2022-09-21 04:20:00.000, 1.4668277882894318, 1.0
2022-09-21 10:30:00.000, 2022-09-21 04:30:00.000, 1.4839167015423225, 1.0
2022-09-21 10:40:00.000, 2022-09-21 04:40:00.000, 1.5045449519599288, 1.0
2022-09-21 10:50:00.000, 2022-09-21 04:50:00.000, 1.528952579093541, 1.0
