UTC, LST, airmass, obs_frac
2022-10-27 04:10:00.000, 2022-10-26 22:10:00.000, 2.0729316779400553, 0.2727272727272727
2022-10-27 04:20:00.000, 2022-10-26 22:20:00.000, 1.9801446875084616, 1.0
2022-10-27 04:30:00.000, 2022-10-26 22:30:00.000, 1.8991426291525477, 1.0
2022-10-27 04:40:00.000, 2022-10-26 22:40:00.000, 1.8281979424251962, 1.0
2022-10-27 04:50:00.000, 2022-10-26 22:50:00.000, 1.7659280956676084, 1.0
2022-10-27 05:00:00.000, 2022-10-26 23:00:00.000, 1.7112161003641329, 1.0
2022-10-27 05:10:00.000, 2022-10-26 23:10:00.000, 1.663152320610219, 1.0
2022-10-27 05:20:00.000, 2022-10-26 23:20:00.000, 1.6209912484562767, 1.0
2022-10-27 05:30:00.000, 2022-10-26 23:30:00.000, 1.58411898518555, 1.0
2022-10-27 05:40:00.000, 2022-10-26 23:40:00.000, 1.5520285080106468, 1.0
2022-10-27 05:50:00.000, 2022-10-26 23:50:00.000, 1.5243006867721987, 1.0
2022-10-27 06:00:00.000, 2022-10-27 00:00:00.000, 1.5005896113572779, 1.0
2022-10-27 06:10:00.000, 2022-10-27 00:10:00.000, 1.4806111992871218, 1.0
2022-10-27 06:20:00.000, 2022-10-27 00:20:00.000, 1.4641343379992056, 1.0
2022-10-27 06:30:00.000, 2022-10-27 00:30:00.000, 1.4509740185722846, 1.0
2022-10-27 06:40:00.000, 2022-10-27 00:40:00.000, 1.440986063654667, 1.0
2022-10-27 06:50:00.000, 2022-10-27 00:50:00.000, 1.4340631598689515, 1.0
2022-10-27 07:00:00.000, 2022-10-27 01:00:00.000, 1.430131986008955, 1.0
2022-10-27 07:10:00.000, 2022-10-27 01:10:00.000, 1.4291512912769118, 1.0
2022-10-27 07:20:00.000, 2022-10-27 01:20:00.000, 1.4311108286192644, 1.0
2022-10-27 07:30:00.000, 2022-10-27 01:30:00.000, 1.4360310913896357, 1.0
2022-10-27 07:40:00.000, 2022-10-27 01:40:00.000, 1.4439638406611888, 1.0
2022-10-27 07:50:00.000, 2022-10-27 01:50:00.000, 1.4549934486161826, 1.0
2022-10-27 08:00:00.000, 2022-10-27 02:00:00.000, 1.4692391235320246, 1.0
2022-10-27 08:10:00.000, 2022-10-27 02:10:00.000, 1.4868581271644035, 1.0
2022-10-27 08:20:00.000, 2022-10-27 02:20:00.000, 1.5080501496140755, 1.0
2022-10-27 08:30:00.000, 2022-10-27 02:30:00.000, 1.5330630749604024, 1.0
2022-10-27 08:40:00.000, 2022-10-27 02:40:00.000, 1.5622004597170236, 1.0
2022-10-27 08:50:00.000, 2022-10-27 02:50:00.000, 1.5958311649221715, 1.0
2022-10-27 09:00:00.000, 2022-10-27 03:00:00.000, 1.6344017450638957, 1.0
2022-10-27 09:10:00.000, 2022-10-27 03:10:00.000, 1.6784524233063574, 1.0
2022-10-27 09:20:00.000, 2022-10-27 03:20:00.000, 1.7286378032645782, 1.0
2022-10-27 09:30:00.000, 2022-10-27 03:30:00.000, 1.7857539300977747, 1.0
2022-10-27 09:40:00.000, 2022-10-27 03:40:00.000, 1.8507739922226822, 1.0
2022-10-27 09:50:00.000, 2022-10-27 03:50:00.000, 1.9248959686356084, 0.8181818181818182
