UTC, LST, airmass, obs_frac
2022-10-06 09:00:00.000, 2022-10-06 03:00:00.000, 1.4416302857610246, 0.6363636363636364
2022-10-06 09:10:00.000, 2022-10-06 03:10:00.000, 1.4518560184251208, 1.0
2022-10-06 09:20:00.000, 2022-10-06 03:20:00.000, 1.4652637409950855, 1.0
2022-10-06 09:30:00.000, 2022-10-06 03:30:00.000, 1.4820005906526617, 1.0
2022-10-06 09:40:00.000, 2022-10-06 03:40:00.000, 1.5022548887416711, 1.0
2022-10-06 09:50:00.000, 2022-10-06 03:50:00.000, 1.526261523033666, 1.0
2022-10-06 10:00:00.000, 2022-10-06 04:00:00.000, 1.5543089502875473, 1.0
2022-10-06 10:10:00.000, 2022-10-06 04:10:00.000, 1.5867482259372352, 1.0
2022-10-06 10:20:00.000, 2022-10-06 04:20:00.000, 1.624004617324373, 1.0
2022-10-06 10:30:00.000, 2022-10-06 04:30:00.000, 1.6665925643564463, 1.0
2022-10-06 10:40:00.000, 2022-10-06 04:40:00.000, 1.715135044309537, 1.0
2022-10-06 10:50:00.000, 2022-10-06 04:50:00.000, 1.7703888179041987, 1.0
