UTC, LST, airmass, obs_frac
2022-10-02 05:50:00.000, 2022-10-01 23:50:00.000, 2.056120376062978, 0.36363636363636365
2022-10-02 06:00:00.000, 2022-10-02 00:00:00.000, 1.9654911650702747, 1.0
2022-10-02 06:10:00.000, 2022-10-02 00:10:00.000, 1.8863223952974375, 1.0
2022-10-02 06:20:00.000, 2022-10-02 00:20:00.000, 1.8169523876992806, 1.0
2022-10-02 06:30:00.000, 2022-10-02 00:30:00.000, 1.756049013463525, 1.0
2022-10-02 06:40:00.000, 2022-10-02 00:40:00.000, 1.7025344240233995, 1.0
2022-10-02 06:50:00.000, 2022-10-02 00:50:00.000, 1.655529802011362, 1.0
2022-10-02 07:00:00.000, 2022-10-02 01:00:00.000, 1.614314226911134, 1.0
2022-10-02 07:10:00.000, 2022-10-02 01:10:00.000, 1.5782936670177008, 1.0
2022-10-02 07:20:00.000, 2022-10-02 01:20:00.000, 1.5469773552748725, 1.0
2022-10-02 07:30:00.000, 2022-10-02 01:30:00.000, 1.51995963267494, 1.0
2022-10-02 07:40:00.000, 2022-10-02 01:40:00.000, 1.496905901054223, 1.0
2022-10-02 07:50:00.000, 2022-10-02 01:50:00.000, 1.4775417109428417, 1.0
2022-10-02 08:00:00.000, 2022-10-02 02:00:00.000, 1.4616442786032808, 1.0
2022-10-02 08:10:00.000, 2022-10-02 02:10:00.000, 1.4490359174057894, 1.0
2022-10-02 08:20:00.000, 2022-10-02 02:20:00.000, 1.4395790070418142, 1.0
2022-10-02 08:30:00.000, 2022-10-02 02:30:00.000, 1.4331722263286328, 1.0
2022-10-02 08:40:00.000, 2022-10-02 02:40:00.000, 1.42974785278605, 1.0
2022-10-02 08:50:00.000, 2022-10-02 02:50:00.000, 1.4292699926490346, 1.0
2022-10-02 09:00:00.000, 2022-10-02 03:00:00.000, 1.431733654196282, 1.0
2022-10-02 09:10:00.000, 2022-10-02 03:10:00.000, 1.4371646195114267, 1.0
2022-10-02 09:20:00.000, 2022-10-02 03:20:00.000, 1.445620108505843, 1.0
2022-10-02 09:30:00.000, 2022-10-02 03:30:00.000, 1.4571902672631853, 1.0
2022-10-02 09:40:00.000, 2022-10-02 03:40:00.000, 1.4720005535049934, 1.0
2022-10-02 09:50:00.000, 2022-10-02 03:50:00.000, 1.4902151385029447, 1.0
2022-10-02 10:00:00.000, 2022-10-02 04:00:00.000, 1.5120415010404433, 1.0
2022-10-02 10:10:00.000, 2022-10-02 04:10:00.000, 1.5377364602055688, 1.0
2022-10-02 10:20:00.000, 2022-10-02 04:20:00.000, 1.567613986934874, 1.0
2022-10-02 10:30:00.000, 2022-10-02 04:30:00.000, 1.6020552593278732, 1.0
2022-10-02 10:40:00.000, 2022-10-02 04:40:00.000, 1.6415215983955662, 1.0
2022-10-02 10:50:00.000, 2022-10-02 04:50:00.000, 1.6865711607957026, 1.0
