UTC, LST, airmass, obs_frac
2022-09-01 12:00:00.000, 2022-09-01 06:00:00.000, 1.5076725226768548, 0.2727272727272727
2022-09-02 07:50:00.000, 2022-09-02 01:50:00.000, 2.0364624427209037, 0.6363636363636364
2022-09-02 08:00:00.000, 2022-09-02 02:00:00.000, 1.9483444322372694, 1.0
2022-09-02 08:10:00.000, 2022-09-02 02:10:00.000, 1.8713137717920851, 1.0
2022-09-02 08:20:00.000, 2022-09-02 02:20:00.000, 1.8037839301769398, 1.0
2022-09-02 08:30:00.000, 2022-09-02 02:30:00.000, 1.7444804377110614, 1.0
2022-09-02 08:40:00.000, 2022-09-02 02:40:00.000, 1.692370341007598, 1.0
2022-09-02 08:50:00.000, 2022-09-02 02:50:00.000, 1.6466102624071632, 1.0
2022-09-02 09:00:00.000, 2022-09-02 03:00:00.000, 1.6065076244324452, 1.0
2022-09-02 09:10:00.000, 2022-09-02 03:10:00.000, 1.571491351664151, 1.0
2022-09-02 09:20:00.000, 2022-09-02 03:20:00.000, 1.5410895056202212, 1.0
2022-09-02 09:30:00.000, 2022-09-02 03:30:00.000, 1.5149120692192377, 1.0
2022-09-02 09:40:00.000, 2022-09-02 03:40:00.000, 1.4926376134706762, 1.0
2022-09-02 09:50:00.000, 2022-09-02 03:50:00.000, 1.4740029351772266, 1.0
2022-09-02 10:00:00.000, 2022-09-02 04:00:00.000, 1.4587950044124014, 1.0
2022-09-02 10:10:00.000, 2022-09-02 04:10:00.000, 1.4468447390246026, 1.0
2022-09-02 10:20:00.000, 2022-09-02 04:20:00.000, 1.4380222532066558, 1.0
2022-09-02 10:30:00.000, 2022-09-02 04:30:00.000, 1.4322333235311415, 1.0
2022-09-02 10:40:00.000, 2022-09-02 04:40:00.000, 1.429416889239605, 1.0
2022-09-02 10:50:00.000, 2022-09-02 04:50:00.000, 1.4295434613325606, 1.0
