UTC, LST, airmass, obs_frac
2022-09-25 12:00:00.000, 2022-09-25 06:00:00.000, 1.9589881670286544, 0.45454545454545453
2022-09-26 06:10:00.000, 2022-09-26 00:10:00.000, 2.0918248718289423, 0.09090909090909091
2022-09-26 06:20:00.000, 2022-09-26 00:20:00.000, 1.996598388956836, 1.0
2022-09-26 06:30:00.000, 2022-09-26 00:30:00.000, 1.9135278862788412, 1.0
2022-09-26 06:40:00.000, 2022-09-26 00:40:00.000, 1.8408098736481415, 1.0
2022-09-26 06:50:00.000, 2022-09-26 00:50:00.000, 1.7770038917774829, 1.0
2022-09-26 07:00:00.000, 2022-09-26 01:00:00.000, 1.7209480850038394, 1.0
2022-09-26 07:10:00.000, 2022-09-26 01:10:00.000, 1.6716975746753537, 1.0
2022-09-26 07:20:00.000, 2022-09-26 01:20:00.000, 1.6284788004316793, 1.0
2022-09-26 07:30:00.000, 2022-09-26 01:30:00.000, 1.5906552475189093, 1.0
2022-09-26 07:40:00.000, 2022-09-26 01:40:00.000, 1.5577014292822289, 1.0
2022-09-26 07:50:00.000, 2022-09-26 01:50:00.000, 1.5291829492264226, 1.0
2022-09-26 08:00:00.000, 2022-09-26 02:00:00.000, 1.5047411081832052, 1.0
2022-09-26 08:10:00.000, 2022-09-26 02:10:00.000, 1.4840809602829905, 1.0
2022-09-26 08:20:00.000, 2022-09-26 02:20:00.000, 1.4669620260599021, 1.0
2022-09-26 08:30:00.000, 2022-09-26 02:30:00.000, 1.4531910864221051, 1.0
2022-09-26 08:40:00.000, 2022-09-26 02:40:00.000, 1.4426166362168051, 1.0
2022-09-26 08:50:00.000, 2022-09-26 02:50:00.000, 1.4351246898018406, 1.0
2022-09-26 09:00:00.000, 2022-09-26 03:00:00.000, 1.4306357163208705, 1.0
2022-09-26 09:10:00.000, 2022-09-26 03:10:00.000, 1.429102548195055, 1.0
2022-09-26 09:20:00.000, 2022-09-26 03:20:00.000, 1.4305091590521104, 1.0
2022-09-26 09:30:00.000, 2022-09-26 03:30:00.000, 1.4348702516240595, 1.0
2022-09-26 09:40:00.000, 2022-09-26 03:40:00.000, 1.442231635758561, 1.0
2022-09-26 09:50:00.000, 2022-09-26 03:50:00.000, 1.4526714147528441, 1.0
2022-09-26 10:00:00.000, 2022-09-26 04:00:00.000, 1.466302037703599, 1.0
2022-09-26 10:10:00.000, 2022-09-26 04:10:00.000, 1.4832733196048202, 1.0
2022-09-26 10:20:00.000, 2022-09-26 04:20:00.000, 1.5037765831841046, 1.0
2022-09-26 10:30:00.000, 2022-09-26 04:30:00.000, 1.5280501416053185, 1.0
2022-09-26 10:40:00.000, 2022-09-26 04:40:00.000, 1.5563864254515007, 1.0
2022-09-26 10:50:00.000, 2022-09-26 04:50:00.000, 1.5891411696354107, 1.0
