UTC, LST, airmass, obs_frac
2022-11-18 02:50:00.000, 2022-11-17 19:50:00.000, 2.011220217704502, 0.8181818181818182
2022-11-18 03:00:00.000, 2022-11-17 20:00:00.000, 1.9263063772272229, 1.0
2022-11-18 03:10:00.000, 2022-11-17 20:10:00.000, 1.8520110615458658, 1.0
2022-11-18 03:20:00.000, 2022-11-17 20:20:00.000, 1.7868412357563717, 1.0
2022-11-18 03:30:00.000, 2022-11-17 20:30:00.000, 1.7295944269938026, 1.0
2022-11-18 03:40:00.000, 2022-11-17 20:40:00.000, 1.6792939289946345, 1.0
2022-11-18 03:50:00.000, 2022-11-17 20:50:00.000, 1.6351409056615873, 1.0
2022-11-18 04:00:00.000, 2022-11-17 21:00:00.000, 1.596478510574219, 1.0
2022-11-18 04:10:00.000, 2022-11-17 21:10:00.000, 1.562764695506243, 1.0
2022-11-18 04:20:00.000, 2022-11-17 21:20:00.000, 1.5335514020857226, 1.0
2022-11-18 04:30:00.000, 2022-11-17 21:30:00.000, 1.5084685139845233, 1.0
2022-11-18 04:40:00.000, 2022-11-17 21:40:00.000, 1.4872114126203495, 1.0
2022-11-18 04:50:00.000, 2022-11-17 21:50:00.000, 1.4695313021671506, 1.0
2022-11-18 05:00:00.000, 2022-11-17 22:00:00.000, 1.455227697303389, 1.0
2022-11-18 05:10:00.000, 2022-11-17 22:10:00.000, 1.4441426304441887, 1.0
2022-11-18 05:20:00.000, 2022-11-17 22:20:00.000, 1.4361562545982427, 1.0
2022-11-18 05:30:00.000, 2022-11-17 22:30:00.000, 1.4311836072008157, 1.0
2022-11-18 05:40:00.000, 2022-11-17 22:40:00.000, 1.4291723687714548, 1.0
2022-11-18 05:50:00.000, 2022-11-17 22:50:00.000, 1.4301015047301806, 1.0
2022-11-18 06:00:00.000, 2022-11-17 23:00:00.000, 1.433980724111962, 1.0
2022-11-18 06:10:00.000, 2022-11-17 23:10:00.000, 1.4408507290748063, 1.0
2022-11-18 06:20:00.000, 2022-11-17 23:20:00.000, 1.4507842672130489, 1.0
2022-11-18 06:30:00.000, 2022-11-17 23:30:00.000, 1.463888037739915, 1.0
2022-11-18 06:40:00.000, 2022-11-17 23:40:00.000, 1.4803055456754093, 1.0
2022-11-18 06:50:00.000, 2022-11-17 23:50:00.000, 1.5002210488201564, 1.0
2022-11-18 07:00:00.000, 2022-11-18 00:00:00.000, 1.523864804972329, 1.0
2022-11-18 07:10:00.000, 2022-11-18 00:10:00.000, 1.5515199075115957, 1.0
2022-11-18 07:20:00.000, 2022-11-18 00:20:00.000, 1.5835311044400648, 1.0
2022-11-18 07:30:00.000, 2022-11-18 00:30:00.000, 1.620316141182496, 1.0
2022-11-18 07:40:00.000, 2022-11-18 00:40:00.000, 1.6623803685056748, 1.0
2022-11-18 07:50:00.000, 2022-11-18 00:50:00.000, 1.710335640257995, 1.0
2022-11-18 08:00:00.000, 2022-11-18 01:00:00.000, 1.7649249317630056, 0.09090909090909091
