UTC, LST, airmass, obs_frac
2022-12-19 00:50:00.000, 2022-12-18 17:50:00.000, 1.994332321953962, 1.0
2022-12-19 01:00:00.000, 2022-12-18 18:00:00.000, 1.9115510146827543, 1.0
2022-12-19 01:10:00.000, 2022-12-18 18:10:00.000, 1.8390808220241446, 1.0
2022-12-19 01:20:00.000, 2022-12-18 18:20:00.000, 1.7754894442101083, 1.0
2022-12-19 01:30:00.000, 2022-12-18 18:30:00.000, 1.7196213388178045, 1.0
2022-12-19 01:40:00.000, 2022-12-18 18:40:00.000, 1.6705365816584559, 1.0
2022-12-19 01:50:00.000, 2022-12-18 18:50:00.000, 1.6274655529154982, 1.0
2022-12-19 02:00:00.000, 2022-12-18 19:00:00.000, 1.5897749126477774, 1.0
2022-12-19 02:10:00.000, 2022-12-18 19:10:00.000, 1.556941764793581, 1.0
2022-12-19 02:20:00.000, 2022-12-18 19:20:00.000, 1.528533854023672, 1.0
2022-12-19 02:30:00.000, 2022-12-18 19:30:00.000, 1.5041942745147956, 1.0
2022-12-19 02:40:00.000, 2022-12-18 19:40:00.000, 1.4836296036776364, 1.0
2022-12-19 02:50:00.000, 2022-12-18 19:50:00.000, 1.466600675719608, 1.0
2022-12-19 03:00:00.000, 2022-12-18 20:00:00.000, 1.4529154234531412, 1.0
2022-12-19 03:10:00.000, 2022-12-18 20:10:00.000, 1.4424233704795573, 1.0
2022-12-19 03:20:00.000, 2022-12-18 20:20:00.000, 1.4350114686867999, 1.0
2022-12-19 03:30:00.000, 2022-12-18 20:30:00.000, 1.4306010606825301, 1.0
2022-12-19 03:40:00.000, 2022-12-18 20:40:00.000, 1.4291458121917466, 1.0
2022-12-19 03:50:00.000, 2022-12-18 20:50:00.000, 1.4306305118871945, 1.0
2022-12-19 04:00:00.000, 2022-12-18 21:00:00.000, 1.4350706802704247, 1.0
2022-12-19 04:10:00.000, 2022-12-18 21:10:00.000, 1.4425129687610425, 1.0
2022-12-19 04:20:00.000, 2022-12-18 21:20:00.000, 1.4530363682216374, 1.0
2022-12-19 04:30:00.000, 2022-12-18 21:30:00.000, 1.4667542857157168, 1.0
2022-12-19 04:40:00.000, 2022-12-18 21:40:00.000, 1.4838175925095693, 1.0
2022-12-19 04:50:00.000, 2022-12-18 21:50:00.000, 1.5044187988723328, 1.0
2022-12-19 05:00:00.000, 2022-12-18 22:00:00.000, 1.5287975767960988, 1.0
2022-12-19 05:10:00.000, 2022-12-18 22:10:00.000, 1.5572479366742509, 1.0
2022-12-19 05:20:00.000, 2022-12-18 22:20:00.000, 1.590127477123275, 1.0
2022-12-19 05:30:00.000, 2022-12-18 22:30:00.000, 1.6278692813484636, 1.0
2022-12-19 05:40:00.000, 2022-12-18 22:40:00.000, 1.670997247710015, 1.0
2022-12-19 05:50:00.000, 2022-12-18 22:50:00.000, 1.7201459450694305, 1.0
2022-12-19 06:00:00.000, 2022-12-18 23:00:00.000, 1.776086519085229, 1.0
2022-12-19 06:10:00.000, 2022-12-18 23:10:00.000, 1.8397608128361251, 1.0
2022-12-19 06:20:00.000, 2022-12-18 23:20:00.000, 1.9123268142482406, 1.0
2022-12-19 06:30:00.000, 2022-12-18 23:30:00.000, 1.9952199840030493, 0.09090909090909091
