UTC, LST, airmass, obs_frac
2022-09-05 12:00:00.000, 2022-09-05 06:00:00.000, 1.5487343382953627, 0.6363636363636364
2022-09-06 07:30:00.000, 2022-09-06 01:30:00.000, 2.0779798563513157, 0.18181818181818182
2022-09-06 07:40:00.000, 2022-09-06 01:40:00.000, 1.9845423382338516, 1.0
2022-09-06 07:50:00.000, 2022-09-06 01:50:00.000, 1.9029882578943602, 1.0
2022-09-06 08:00:00.000, 2022-09-06 02:00:00.000, 1.831569957933074, 1.0
2022-09-06 08:10:00.000, 2022-09-06 02:10:00.000, 1.7688895577220858, 1.0
2022-09-06 08:20:00.000, 2022-09-06 02:20:00.000, 1.71381816839507, 1.0
2022-09-06 08:30:00.000, 2022-09-06 02:30:00.000, 1.665436797593793, 1.0
2022-09-06 08:40:00.000, 2022-09-06 02:40:00.000, 1.6229924831294558, 1.0
2022-09-06 08:50:00.000, 2022-09-06 02:50:00.000, 1.5858653113421746, 1.0
2022-09-06 09:00:00.000, 2022-09-06 03:00:00.000, 1.553543344495539, 1.0
2022-09-06 09:10:00.000, 2022-09-06 03:10:00.000, 1.5256033849869033, 1.0
2022-09-06 09:20:00.000, 2022-09-06 03:20:00.000, 1.50169611207198, 1.0
2022-09-06 09:30:00.000, 2022-09-06 03:30:00.000, 1.4815345432515563, 1.0
2022-09-06 09:40:00.000, 2022-09-06 03:40:00.000, 1.464885062672442, 1.0
2022-09-06 09:50:00.000, 2022-09-06 03:50:00.000, 1.4515604645829747, 1.0
2022-09-06 10:00:00.000, 2022-09-06 04:00:00.000, 1.4414146082548611, 1.0
2022-09-06 10:10:00.000, 2022-09-06 04:10:00.000, 1.4343383899191253, 1.0
2022-09-06 10:20:00.000, 2022-09-06 04:20:00.000, 1.4302568194213874, 1.0
2022-09-06 10:30:00.000, 2022-09-06 04:30:00.000, 1.4291270529909903, 1.0
2022-09-06 10:40:00.000, 2022-09-06 04:40:00.000, 1.4309372848245374, 1.0
2022-09-06 10:50:00.000, 2022-09-06 04:50:00.000, 1.4357064436503404, 1.0
