UTC, LST, airmass, obs_frac
2022-10-30 04:00:00.000, 2022-10-29 22:00:00.000, 2.05532009445216, 0.45454545454545453
2022-10-30 04:10:00.000, 2022-10-29 22:10:00.000, 1.964794150911073, 1.0
2022-10-30 04:20:00.000, 2022-10-29 22:20:00.000, 1.885713229768908, 1.0
2022-10-30 04:30:00.000, 2022-10-29 22:30:00.000, 1.8164187729710826, 1.0
2022-10-30 04:40:00.000, 2022-10-29 22:40:00.000, 1.7555810429322063, 1.0
2022-10-30 04:50:00.000, 2022-10-29 22:50:00.000, 1.702124050560819, 1.0
2022-10-30 05:00:00.000, 2022-10-29 23:00:00.000, 1.6551704446173345, 1.0
2022-10-30 05:10:00.000, 2022-10-29 23:10:00.000, 1.614000475879325, 1.0
2022-10-30 05:20:00.000, 2022-10-29 23:20:00.000, 1.578021060405598, 1.0
2022-10-30 05:30:00.000, 2022-10-29 23:30:00.000, 1.546742207803187, 1.0
2022-10-30 05:40:00.000, 2022-10-29 23:40:00.000, 1.5197589037636188, 1.0
2022-10-30 05:50:00.000, 2022-10-29 23:50:00.000, 1.496737092510826, 1.0
2022-10-30 06:00:00.000, 2022-10-30 00:00:00.000, 1.4774027874626543, 1.0
2022-10-30 06:10:00.000, 2022-10-30 00:10:00.000, 1.4615336061062416, 1.0
2022-10-30 06:20:00.000, 2022-10-30 00:20:00.000, 1.448952215575526, 1.0
2022-10-30 06:30:00.000, 2022-10-30 00:30:00.000, 1.4395213134135847, 1.0
2022-10-30 06:40:00.000, 2022-10-30 00:40:00.000, 1.4331398700068283, 1.0
2022-10-30 06:50:00.000, 2022-10-30 00:50:00.000, 1.4297404364377415, 1.0
2022-10-30 07:00:00.000, 2022-10-30 01:00:00.000, 1.4292873818705687, 1.0
2022-10-30 07:10:00.000, 2022-10-30 01:10:00.000, 1.431775973727617, 1.0
2022-10-30 07:20:00.000, 2022-10-30 01:20:00.000, 1.437232256108427, 1.0
2022-10-30 07:30:00.000, 2022-10-30 01:30:00.000, 1.4457137206012145, 1.0
2022-10-30 07:40:00.000, 2022-10-30 01:40:00.000, 1.4573108018768688, 1.0
2022-10-30 07:50:00.000, 2022-10-30 01:50:00.000, 1.4721492712311857, 1.0
2022-10-30 08:00:00.000, 2022-10-30 02:00:00.000, 1.4903936478330932, 1.0
2022-10-30 08:10:00.000, 2022-10-30 02:10:00.000, 1.512251803817963, 1.0
2022-10-30 08:20:00.000, 2022-10-30 02:20:00.000, 1.5379810107002783, 1.0
2022-10-30 08:30:00.000, 2022-10-30 02:30:00.000, 1.5678957679433918, 1.0
2022-10-30 08:40:00.000, 2022-10-30 02:40:00.000, 1.602377879953647, 1.0
2022-10-30 08:50:00.000, 2022-10-30 02:50:00.000, 1.6418894198913274, 1.0
2022-10-30 09:00:00.000, 2022-10-30 03:00:00.000, 1.6869894592863264, 1.0
2022-10-30 09:10:00.000, 2022-10-30 03:10:00.000, 1.7383557845800555, 1.0
2022-10-30 09:20:00.000, 2022-10-30 03:20:00.000, 1.7968133165388371, 1.0
2022-10-30 09:30:00.000, 2022-10-30 03:30:00.000, 1.8633716767158834, 1.0
2022-10-30 09:40:00.000, 2022-10-30 03:40:00.000, 1.9392754367760319, 0.8
