UTC, LST, airmass, obs_frac
2022-10-04 06:30:00.000, 2022-10-04 00:30:00.000, 1.7133953378197304, 0.9090909090909091
2022-10-04 06:40:00.000, 2022-10-04 00:40:00.000, 1.6650650072374535, 1.0
2022-10-04 06:50:00.000, 2022-10-04 00:50:00.000, 1.622666188572238, 1.0
2022-10-04 07:00:00.000, 2022-10-04 01:00:00.000, 1.5855799374293462, 1.0
2022-10-04 07:10:00.000, 2022-10-04 01:10:00.000, 1.553295107712024, 1.0
2022-10-04 07:20:00.000, 2022-10-04 01:20:00.000, 1.5253891565955473, 1.0
2022-10-04 07:30:00.000, 2022-10-04 01:30:00.000, 1.5015133120264355, 1.0
2022-10-04 07:40:00.000, 2022-10-04 01:40:00.000, 1.4813810576910265, 1.0
2022-10-04 07:50:00.000, 2022-10-04 01:50:00.000, 1.4647591797737718, 1.0
2022-10-04 08:00:00.000, 2022-10-04 02:00:00.000, 1.4514608249523013, 1.0
2022-10-04 08:10:00.000, 2022-10-04 02:10:00.000, 1.4413401670658907, 1.0
2022-10-04 08:20:00.000, 2022-10-04 02:20:00.000, 1.4342883887673024, 1.0
2022-10-04 08:30:00.000, 2022-10-04 02:30:00.000, 1.4302307664450653, 1.0
2022-10-04 08:40:00.000, 2022-10-04 02:40:00.000, 1.4291247102691191, 1.0
2022-10-04 08:50:00.000, 2022-10-04 02:50:00.000, 1.4309586624391333, 1.0
2022-10-04 09:00:00.000, 2022-10-04 03:00:00.000, 1.435751800131109, 1.0
2022-10-04 09:10:00.000, 2022-10-04 03:10:00.000, 1.4435545288394505, 1.0
2022-10-04 09:20:00.000, 2022-10-04 03:20:00.000, 1.4544497898975353, 1.0
2022-10-04 09:30:00.000, 2022-10-04 03:30:00.000, 1.4685552459029287, 1.0
2022-10-04 09:40:00.000, 2022-10-04 03:40:00.000, 1.4860264527599072, 1.0
2022-10-04 09:50:00.000, 2022-10-04 03:50:00.000, 1.507061180861505, 1.0
2022-10-04 10:00:00.000, 2022-10-04 04:00:00.000, 1.531905115413508, 1.0
2022-10-04 10:10:00.000, 2022-10-04 04:10:00.000, 1.5608592536268429, 1.0
2022-10-04 10:20:00.000, 2022-10-04 04:20:00.000, 1.594289433736069, 1.0
2022-10-04 10:30:00.000, 2022-10-04 04:30:00.000, 1.632638590967542, 1.0
2022-10-04 10:40:00.000, 2022-10-04 04:40:00.000, 1.6764425585788099, 1.0
2022-10-04 10:50:00.000, 2022-10-04 04:50:00.000, 1.726350548010863, 1.0
