UTC, LST, airmass, obs_frac
2022-09-03 12:00:00.000, 2022-09-03 06:00:00.000, 1.5269527213237062, 0.45454545454545453
2022-09-04 07:40:00.000, 2022-09-04 01:40:00.000, 2.056912884695481, 0.36363636363636365
2022-09-04 07:50:00.000, 2022-09-04 01:50:00.000, 1.966182737316393, 1.0
2022-09-04 08:00:00.000, 2022-09-04 02:00:00.000, 1.886928142058981, 1.0
2022-09-04 08:10:00.000, 2022-09-04 02:10:00.000, 1.8174843644762795, 1.0
2022-09-04 08:20:00.000, 2022-09-04 02:20:00.000, 1.7565169352959844, 1.0
2022-09-04 08:30:00.000, 2022-09-04 02:30:00.000, 1.702946186433687, 1.0
2022-09-04 08:40:00.000, 2022-09-04 02:40:00.000, 1.6558918663706272, 1.0
2022-09-04 08:50:00.000, 2022-09-04 02:50:00.000, 1.6146319093231074, 1.0
2022-09-04 09:00:00.000, 2022-09-04 03:00:00.000, 1.5785713573825737, 1.0
2022-09-04 09:10:00.000, 2022-09-04 03:10:00.000, 1.5472186850287475, 1.0
2022-09-04 09:20:00.000, 2022-09-04 03:20:00.000, 1.5201676042311147, 1.0
2022-09-04 09:30:00.000, 2022-09-04 03:30:00.000, 1.4970829882411767, 1.0
2022-09-04 09:40:00.000, 2022-09-04 03:40:00.000, 1.477689937145152, 1.0
2022-09-04 09:50:00.000, 2022-09-04 03:50:00.000, 1.4617652774853112, 1.0
2022-09-04 10:00:00.000, 2022-09-04 04:00:00.000, 1.4491309797864096, 1.0
2022-09-04 10:10:00.000, 2022-09-04 04:10:00.000, 1.4396491165295393, 1.0
2022-09-04 10:20:00.000, 2022-09-04 04:20:00.000, 1.4332180856095043, 1.0
2022-09-04 10:30:00.000, 2022-09-04 04:30:00.000, 1.4297699019064651, 1.0
2022-09-04 10:40:00.000, 2022-09-04 04:40:00.000, 1.4292684201977996, 1.0
2022-09-04 10:50:00.000, 2022-09-04 04:50:00.000, 1.431708401925563, 1.0
